year,name,issues
2007,builder,1
2007,gtk2,1
2007,json,1
2008,activerecord-oracle_enhanced-adapter,1
2008,activeresource,1
2008,spree,2
2009,jruby-openssl,1
2010,bcrypt-ruby,1
2010,bcrypt,1
2010,curb,1
2010,spree,1
2011,actionpack,2
2011,bundler,1
2011,dragonfly,1
2011,fog-dragonfly,1
2011,mail,1
2011,quick_magick,1
2011,rack,1
2011,spree,2
2012,RedCloth,1
2012,actionpack,4
2012,activerecord,3
2012,activesupport,2
2012,authlogic,1
2012,ldap_fluff,1
2012,loofah,1
2012,mail,2
2012,newrelic_rpm,1
2012,nokogiri,1
2012,omniauth-oauth2,1
2012,passenger,1
2012,rack-cache,1
2012,rack,1
2012,spree,2
2013,actionmailer,1
2013,actionpack,8
2013,activerecord-jdbc-adapter,1
2013,activerecord,4
2013,activesupport,2
2013,aescrypt,1
2013,bio-basespace-sdk,1
2013,bundler,2
2013,cocaine,1
2013,command_wrap,1
2013,crack,1
2013,cremefraiche,1
2013,curl,1
2013,devise,2
2013,dragonfly,2
2013,ember-source,1
2013,enum_column3,1
2013,extlib,1
2013,fastreader,1
2013,fat_free_crm,5
2013,features,1
2013,fileutils,4
2013,flash_tool,1
2013,flukso4r,1
2013,fog-dragonfly,2
2013,ftpd,1
2013,gitlab-grit,1
2013,httparty,1
2013,i18n,1
2013,json,2
2013,karteek-docsplit,1
2013,kelredd-pruview,1
2013,ldoce,1
2013,md2pdf,1
2013,mini_magick,1
2013,multi_xml,1
2013,nokogiri,2
2013,nori,1
2013,omniauth-facebook,2
2013,paratrooper-pingdom,1
2013,passenger,2
2013,pdfkit,1
2013,rack-ssl,1
2013,rack,4
2013,rdoc,1
2013,redis-namespace,1
2013,rgpg,1
2013,ruby_parser,1
2013,show_in_browser,1
2013,sounder,1
2013,spree,5
2013,spree_auth,1
2013,spree_auth_devise,1
2013,sprout,1
2013,sup,2
2013,thumbshooter,1
2013,webbynode,1
2013,wicked,1
2013,will_paginate,1
2014,Arabic-Prawn,1
2014,VladTheEnterprising,2
2014,actionpack,5
2014,activerecord,4
2014,as,1
2014,awesome_spawn,1
2014,backup-agoddard,1
2014,backup_checksum,2
2014,brbackup,3
2014,bundler,1
2014,cap-strap,2
2014,ciborg,1
2014,codders-dataset,2
2014,doorkeeper,1
2014,dragonfly,1
2014,echor,2
2014,ember-source,3
2014,fat_free_crm,1
2014,flavour_saver,1
2014,fog-dragonfly,1
2014,gnms,1
2014,gollum-grit_adapter,1
2014,gyazo,1
2014,jruby-sandbox,1
2014,kafo,1
2014,kajam,2
2014,karo,1
2014,kcapifony,2
2014,kompanee-recipes,1
2014,lawn-login,1
2014,lean-ruport,1
2014,lingq,1
2014,lynx,2
2014,net-ldap,1
2014,nokogiri,1
2014,paperclip,1
2014,paratrooper-newrelic,1
2014,passenger,2
2014,point-cli,1
2014,rbovirt,1
2014,screen_capture,1
2014,sentry-raven,1
2014,sfpagent,1
2014,sidekiq-pro,1
2014,sprockets,1
2014,twitter-bootstrap-rails,1
2014,web-console,1
2015,activesupport,2
2015,bson,1
2015,devise-two-factor,1
2015,doorkeeper,1
2015,ember-source,1
2015,fat_free_crm,1
2015,git-fastclone,2
2015,gollum,1
2015,handlebars-source,1
2015,http,1
2015,jquery-rails,1
2015,jquery-ujs,1
2015,mail,1
2015,mapbox-rails,1
2015,moped,1
2015,mustache-js-rails,1
2015,nokogiri,2
2015,open-uri-cached,1
2015,paperclip,1
2015,passenger,1
2015,rack-attack,1
2015,rack,1
2015,redcarpet,2
2015,refile,1
2015,rest-client,2
2015,ruby-saml,3
2015,sidekiq-pro,2
2015,sidekiq,3
2015,spina,1
2015,spree,3
2015,uglifier,1
2015,web-console,1
2015,xaviershay-dm-rails,1
2016,actionpack,7
2016,actionview,3
2016,activemodel,1
2016,activerecord,2
2016,administrate,1
2016,archive-tar-minitar,1
2016,auto_awesomplete,1
2016,auto_select2,1
2016,colorscore,1
2016,devise,1
2016,doorkeeper,1
2016,ember-source,1
2016,espeak-ruby,1
2016,festivaltts4r,1
2016,mapbox-rails,1
2016,minitar,1
2016,nokogiri,2
2016,passenger,1
2016,rack-mini-profiler,1
2016,rails-html-sanitizer,3
2016,ruby-saml,1
2016,safemode,1
2017,nokogiri,3
2017,omniauth,1
2017,recurly,1
2017,redis-store,1
2017,rubocop,1
2017,rubyzip,1
2017,safemode,1
2017,yajl-ruby,1
2017,yard,1
2018,doorkeeper,1
2018,loofah,1
2018,nokogiri,2
2018,paperclip,1
2018,rack-protection,1
2018,rails-html-sanitizer,1
2018,ruby-saml,1
2018,sanitize,1
